Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

467.00,6.68595898E+3,6.70165137E+3,6.42128223E+3,6.58239014E+3,6.58971289E+3,6.55832813E+3,6.40663672E+3,6.51752832E+3,6.11685254E+3,6.26122119E+3,5.89297559E+3,5.85740625E+3,5.70466797E+3,5.38454541E+3,4.86879248E+3,4.23691699E+3,4.03500928E+3,3.75987134E+3,3.27550269E+3,2.95224170E+3,2.53901147E+3,2.01907373E+3,1.71359741E+3,1.31815186E+3,9.66644714E+2,7.13475830E+2,4.41476257E+2,3.54645630E+2,2.86645721E+2,2.70953430E+2,2.23876587E+2,1.99815063E+2,1.96676636E+2,1.92492004E+2,
467.500,7.67804932E+3,7.66344580E+3,7.63736914E+3,7.51741602E+3,7.46108984E+3,7.67179053E+3,7.42875488E+3,7.59877539E+3,7.42249609E+3,7.30150049E+3,7.28585449E+3,7.04177490E+3,6.91765039E+3,6.75284473E+3,6.11552783E+3,5.58356152E+3,5.24039111E+3,4.87948828E+3,4.36421094E+3,3.82598633E+3,3.33678564E+3,2.97483984E+3,2.47520850E+3,1.89213159E+3,1.40397412E+3,1.03055457E+3,7.38494568E+2,4.96502014E+2,4.07840912E+2,3.59859650E+2,2.93103088E+2,2.26346497E+2,1.87752869E+2,2.02355865E+2,
468.00,8.72605371E+3,8.53151660E+3,8.57625000E+3,8.60953906E+3,8.79575293E+3,8.73229492E+3,8.47950195E+3,8.73333594E+3,8.71148926E+3,8.55856445E+3,8.61162012E+3,8.37859277E+3,8.34010156E+3,8.17677393E+3,7.72736328E+3,7.16976172E+3,6.66313428E+3,6.27406152E+3,5.69357324E+3,5.23896094E+3,4.51595117E+3,4.08942725E+3,3.45692383E+3,2.63612524E+3,2.13365942E+3,1.58750098E+3,1.11728442E+3,7.31332275E+2,5.52400391E+2,5.17030151E+2,4.37967163E+2,3.36017548E+2,2.91284576E+2,2.50712799E+2,
468.500,9.56664160E+3,9.89251758E+3,9.85204297E+3,9.87591211E+3,1.02225449E+4,1.02682090E+4,1.02796250E+4,1.02308477E+4,1.02702852E+4,1.02536797E+4,1.05681396E+4,1.00845146E+4,1.02360371E+4,9.92365234E+3,9.54380957E+3,9.14320996E+3,8.67100098E+3,8.20086816E+3,7.62902832E+3,7.05407471E+3,6.22589307E+3,5.59385986E+3,4.82898486E+3,3.94060938E+3,3.11035205E+3,2.37661182E+3,1.62834253E+3,1.26199146E+3,9.17434509E+2,7.66950317E+2,5.64575073E+2,4.01637054E+2,3.67388916E+2,2.86438843E+2,
469.00,1.09116533E+4,1.10587031E+4,1.15951211E+4,1.16551836E+4,1.19492803E+4,1.15547344E+4,1.20373027E+4,1.19078584E+4,1.21035791E+4,1.22299160E+4,1.25364414E+4,1.22495918E+4,1.23904277E+4,1.20176279E+4,1.16934980E+4,1.12937734E+4,1.09727520E+4,1.03089600E+4,9.93408887E+3,9.23612402E+3,8.40146582E+3,7.67139941E+3,6.51261182E+3,5.69348682E+3,4.55541113E+3,3.32620605E+3,2.47394336E+3,1.89817432E+3,1.41664063E+3,1.18881836E+3,8.14982605E+2,6.04764709E+2,4.93960205E+2,3.41733490E+2,
469.500,1.26220674E+4,1.26200010E+4,1.27894805E+4,1.32627813E+4,1.36751123E+4,1.35645371E+4,1.39551660E+4,1.42321201E+4,1.44904727E+4,1.44977061E+4,1.45659102E+4,1.45266426E+4,1.46795859E+4,1.47415898E+4,1.45555762E+4,1.42951572E+4,1.38704258E+4,1.33206523E+4,1.26665039E+4,1.23895508E+4,1.11515254E+4,1.00189082E+4,9.02786816E+3,7.83634668E+3,6.51358203E+3,5.18151660E+3,3.74301025E+3,3.02479053E+3,2.26936792E+3,1.91180811E+3,1.24319202E+3,9.14567627E+2,6.73783203E+2,5.00170349E+2,
470.00,1.44117383E+4,1.41920820E+4,1.46179883E+4,1.49882070E+4,1.56069580E+4,1.58039268E+4,1.61906465E+4,1.65154902E+4,1.70104922E+4,1.69207715E+4,1.72621172E+4,1.72992422E+4,1.78478672E+4,1.75714922E+4,1.75570547E+4,1.76374922E+4,1.71393984E+4,1.66866777E+4,1.60091455E+4,1.54233955E+4,1.45942695E+4,1.34897988E+4,1.23378906E+4,1.05404199E+4,9.10594922E+3,7.55082275E+3,5.76160156E+3,4.55709961E+3,3.56606738E+3,2.99887891E+3,2.02950269E+3,1.36537671E+3,1.02093884E+3,7.46625977E+2,
470.500,1.63198867E+4,1.64299902E+4,1.70638516E+4,1.72799414E+4,1.76184805E+4,1.79374707E+4,1.87915371E+4,1.92720781E+4,1.93482246E+4,1.99398984E+4,2.03720762E+4,2.04811504E+4,2.13527109E+4,2.13105215E+4,2.17005117E+4,2.15317559E+4,2.14957422E+4,2.10645918E+4,2.08433574E+4,1.98092168E+4,1.88717988E+4,1.77080039E+4,1.65750781E+4,1.49338301E+4,1.30085762E+4,1.10040908E+4,8.62607910E+3,7.26265820E+3,5.82617920E+3,4.73029785E+3,3.17651294E+3,2.05902246E+3,1.54966895E+3,1.04751868E+3,
471.00,1.85116406E+4,1.83997227E+4,1.91564531E+4,1.95343047E+4,2.03125957E+4,2.08783477E+4,2.13219121E+4,2.15395859E+4,2.26125625E+4,2.26443906E+4,2.35458965E+4,2.40736563E+4,2.46157891E+4,2.50121250E+4,2.58181387E+4,2.58561289E+4,2.55932773E+4,2.52852461E+4,2.48827500E+4,2.45716406E+4,2.40141035E+4,2.24564922E+4,2.09841055E+4,1.95425195E+4,1.73688457E+4,1.49354004E+4,1.21220498E+4,1.02913184E+4,8.50371094E+3,7.02208203E+3,4.81657910E+3,3.08441797E+3,2.50737305E+3,1.62537744E+3,
471.500,2.07189453E+4,2.09833262E+4,2.19035313E+4,2.23462129E+4,2.34180762E+4,2.38894492E+4,2.47092305E+4,2.58354063E+4,2.62678418E+4,2.68519336E+4,2.76717148E+4,2.77096309E+4,2.91278535E+4,2.92077813E+4,2.99373867E+4,3.08575898E+4,3.10410156E+4,3.11834531E+4,3.07059297E+4,3.04794648E+4,2.97109219E+4,2.86226641E+4,2.73212598E+4,2.56417344E+4,2.37736563E+4,2.05621641E+4,1.76109512E+4,1.53432305E+4,1.28090820E+4,1.08006182E+4,7.48562793E+3,5.20151172E+3,3.70131226E+3,2.49213501E+3,
472.00,2.29501035E+4,2.33940684E+4,2.44149824E+4,2.51678789E+4,2.58399648E+4,2.69294180E+4,2.73825879E+4,2.88740645E+4,2.95195508E+4,3.04944336E+4,3.13751992E+4,3.18825879E+4,3.26610625E+4,3.35162578E+4,3.52010703E+4,3.60020469E+4,3.60562656E+4,3.61022969E+4,3.69421484E+4,3.64552188E+4,3.58905469E+4,3.53135938E+4,3.37863164E+4,3.27091406E+4,3.05578555E+4,2.75800195E+4,2.37275527E+4,2.13706543E+4,1.83293945E+4,1.54845430E+4,1.13569004E+4,7.95248975E+3,5.80836572E+3,3.87599463E+3,
472.500,2.54475820E+4,2.61575547E+4,2.74109805E+4,2.82772500E+4,2.91445352E+4,3.01640332E+4,3.13776211E+4,3.24369570E+4,3.33471523E+4,3.41511055E+4,3.57518555E+4,3.62973594E+4,3.78276250E+4,3.77632656E+4,4.02302891E+4,4.16410352E+4,4.23908438E+4,4.26104766E+4,4.31345273E+4,4.40253086E+4,4.35063672E+4,4.31253359E+4,4.25818711E+4,4.06368594E+4,3.89186289E+4,3.59347109E+4,3.20753340E+4,3.01231719E+4,2.65253086E+4,2.27088340E+4,1.75878535E+4,1.26619883E+4,9.46558984E+3,6.48882227E+3,
473.00,2.81211016E+4,2.86293125E+4,3.02825352E+4,3.07795215E+4,3.26113320E+4,3.36410234E+4,3.43666016E+4,3.55656992E+4,3.68290898E+4,3.82669844E+4,3.93701523E+4,4.05131172E+4,4.18061016E+4,4.26572070E+4,4.53166484E+4,4.67739336E+4,4.79924180E+4,4.93578594E+4,4.98395391E+4,5.08171875E+4,5.08518750E+4,5.08518828E+4,5.09682148E+4,4.94058203E+4,4.83567383E+4,4.60279453E+4,4.28725313E+4,4.00865469E+4,3.63463867E+4,3.22878320E+4,2.61637676E+4,1.98641758E+4,1.53280195E+4,1.09816797E+4,
473.500,3.11164395E+4,3.19914961E+4,3.33703672E+4,3.41301758E+4,3.55212891E+4,3.68716055E+4,3.83310508E+4,3.94406758E+4,4.06859453E+4,4.19832266E+4,4.41392461E+4,4.47776914E+4,4.67164766E+4,4.72355938E+4,5.11294844E+4,5.44267461E+4,5.47806445E+4,5.65501289E+4,5.72823984E+4,5.89029805E+4,5.95026719E+4,6.04990938E+4,6.08070938E+4,6.08438125E+4,5.99371406E+4,5.84440391E+4,5.60779258E+4,5.35996250E+4,4.99637656E+4,4.59301484E+4,3.93254297E+4,3.17905781E+4,2.62444883E+4,2.00732148E+4,
474.00,3.36159688E+4,3.45437969E+4,3.61465977E+4,3.74231250E+4,3.82826445E+4,4.00791641E+4,4.16146719E+4,4.37395039E+4,4.44491406E+4,4.62303672E+4,4.76792109E+4,4.90862461E+4,5.17596172E+4,5.18687148E+4,5.63488047E+4,5.92260938E+4,6.12112422E+4,6.18352344E+4,6.41007656E+4,6.57902344E+4,6.74817344E+4,6.88979531E+4,6.93170000E+4,7.12154844E+4,7.17252813E+4,7.16793984E+4,7.01653047E+4,6.85706563E+4,6.54863945E+4,6.10990859E+4,5.56269336E+4,4.90536172E+4,4.27362266E+4,3.50495156E+4,
474.500,3.62062383E+4,3.71626016E+4,3.92619141E+4,4.02835313E+4,4.19168945E+4,4.37358242E+4,4.53477734E+4,4.71972891E+4,4.79058984E+4,4.95545586E+4,5.16202188E+4,5.27213633E+4,5.53590156E+4,5.69312031E+4,6.12960156E+4,6.48900313E+4,6.69240859E+4,6.82842031E+4,7.08260078E+4,7.36318906E+4,7.55303438E+4,7.84962969E+4,8.09361484E+4,8.29528750E+4,8.57516172E+4,8.76154063E+4,8.79885703E+4,8.91457969E+4,8.72524375E+4,8.35105859E+4,8.07465078E+4,7.66192578E+4,7.21086406E+4,6.36736719E+4,
475.00,3.90630273E+4,4.02836484E+4,4.15593359E+4,4.33499961E+4,4.50131836E+4,4.61960781E+4,4.79592031E+4,5.00680156E+4,5.18688711E+4,5.34209063E+4,5.51177500E+4,5.70603477E+4,5.94128750E+4,6.08833359E+4,6.59238906E+4,6.90391797E+4,7.14773750E+4,7.45559531E+4,7.74825938E+4,8.06917031E+4,8.34908828E+4,8.68142031E+4,9.02853828E+4,9.35230469E+4,9.81291875E+4,1.02272391E+5,1.05656883E+5,1.08794609E+5,1.09449281E+5,1.08118523E+5,1.09349352E+5,1.09601219E+5,1.10557734E+5,1.03783625E+5,
475.500,4.14692227E+4,4.27074766E+4,4.47188750E+4,4.61040039E+4,4.78879414E+4,4.96035430E+4,5.10886328E+4,5.33580781E+4,5.47758516E+4,5.63221367E+4,5.87139844E+4,6.11843711E+4,6.32018867E+4,6.47359297E+4,6.96287656E+4,7.41625625E+4,7.63667344E+4,8.00549688E+4,8.32770781E+4,8.76966406E+4,9.08300156E+4,9.57595625E+4,9.96722031E+4,1.05856328E+5,1.11798719E+5,1.18207234E+5,1.26104914E+5,1.31526094E+5,1.33546672E+5,1.36942188E+5,1.45788438E+5,1.54593906E+5,1.65126203E+5,1.62193750E+5,
476.00,4.40192070E+4,4.49058125E+4,4.67677891E+4,4.85848789E+4,5.02632109E+4,5.18058438E+4,5.37576016E+4,5.59991211E+4,5.77662109E+4,5.95761602E+4,6.27216250E+4,6.40326680E+4,6.61660313E+4,6.70271328E+4,7.30895313E+4,7.80684063E+4,8.14332344E+4,8.45674766E+4,8.83342813E+4,9.34937500E+4,9.67341016E+4,1.02885258E+5,1.08080438E+5,1.15457953E+5,1.23189500E+5,1.33381906E+5,1.42822391E+5,1.51715000E+5,1.57904922E+5,1.66286375E+5,1.83037031E+5,2.06169453E+5,2.26975656E+5,2.28503000E+5,
476.500,4.66360469E+4,4.70769336E+4,4.92568750E+4,5.04499219E+4,5.21951016E+4,5.44526094E+4,5.61467539E+4,5.88431016E+4,6.04005000E+4,6.22793711E+4,6.35795781E+4,6.56788984E+4,6.87028516E+4,7.04939531E+4,7.69286563E+4,8.11956641E+4,8.50544531E+4,8.82467969E+4,9.23117344E+4,9.66981563E+4,1.01755094E+5,1.07611125E+5,1.14950063E+5,1.23686156E+5,1.33202984E+5,1.44705844E+5,1.58967313E+5,1.71271344E+5,1.80048250E+5,1.92152234E+5,2.18073719E+5,2.53470219E+5,2.89152469E+5,2.97983500E+5,
477.00,4.76316172E+4,4.94182500E+4,5.08812461E+4,5.25239258E+4,5.45494570E+4,5.67311914E+4,5.82146016E+4,6.09170156E+4,6.20502500E+4,6.39124297E+4,6.65219375E+4,6.77552188E+4,7.09415547E+4,7.20788672E+4,7.87282031E+4,8.33499688E+4,8.70457422E+4,9.08752656E+4,9.50784453E+4,9.94071875E+4,1.05203031E+5,1.11464414E+5,1.19448102E+5,1.28205664E+5,1.40156719E+5,1.54432406E+5,1.70154781E+5,1.85410563E+5,1.98419281E+5,2.12634766E+5,2.46555250E+5,2.92745313E+5,3.36242156E+5,3.49304969E+5,
477.500,4.99749375E+4,5.06020625E+4,5.30370234E+4,5.48091133E+4,5.65617969E+4,5.84053828E+4,6.01437656E+4,6.19495547E+4,6.40862813E+4,6.52169453E+4,6.81340000E+4,6.97855625E+4,7.25146797E+4,7.37709688E+4,8.04385156E+4,8.46802969E+4,8.84297734E+4,9.16644688E+4,9.61207422E+4,1.00563727E+5,1.05933109E+5,1.12878469E+5,1.21364063E+5,1.30855711E+5,1.44079484E+5,1.58436969E+5,1.76702250E+5,1.92931922E+5,2.09463922E+5,2.27335969E+5,2.65810219E+5,3.20799094E+5,3.69239938E+5,3.80557813E+5,
478.00,5.12912188E+4,5.24827773E+4,5.43232539E+4,5.59409570E+4,5.76782227E+4,5.95789922E+4,6.10822383E+4,6.37412734E+4,6.50074375E+4,6.64003125E+4,6.90297188E+4,7.07117969E+4,7.35292344E+4,7.49691172E+4,8.03832578E+4,8.58546172E+4,8.83767188E+4,9.21189922E+4,9.61586406E+4,1.00760352E+5,1.06988953E+5,1.13834813E+5,1.21078172E+5,1.30692406E+5,1.43919125E+5,1.60213656E+5,1.80006203E+5,1.95629328E+5,2.12032188E+5,2.32160938E+5,2.76622688E+5,3.30623000E+5,3.78451938E+5,3.86348313E+5,
478.500,5.27883359E+4,5.35971875E+4,5.51044609E+4,5.70238359E+4,5.86323438E+4,6.07470234E+4,6.22624766E+4,6.51379609E+4,6.56656016E+4,6.75123750E+4,6.93069922E+4,7.07784766E+4,7.37684844E+4,7.45916563E+4,7.99325547E+4,8.46588984E+4,8.77879688E+4,9.10724844E+4,9.47312500E+4,9.87530313E+4,1.05334313E+5,1.10402195E+5,1.18164547E+5,1.28160219E+5,1.40932156E+5,1.56482438E+5,1.75762047E+5,1.93976125E+5,2.11057219E+5,2.32438219E+5,2.73504781E+5,3.26069156E+5,3.68831188E+5,3.70360938E+5,
479.00,5.40104688E+4,5.45620391E+4,5.63354766E+4,5.82511523E+4,5.99539805E+4,6.12761250E+4,6.32225078E+4,6.53448984E+4,6.65237813E+4,6.78827656E+4,6.99284063E+4,7.16199688E+4,7.35673750E+4,7.46029844E+4,8.01300078E+4,8.33391719E+4,8.67683672E+4,8.90575547E+4,9.22728672E+4,9.70702500E+4,1.00932313E+5,1.07049797E+5,1.14402422E+5,1.23651313E+5,1.35525031E+5,1.50531188E+5,1.69537547E+5,1.87507266E+5,2.04131281E+5,2.25460625E+5,2.65533281E+5,3.12418281E+5,3.45286688E+5,3.39594938E+5,
479.500,5.44848047E+4,5.57148516E+4,5.71999297E+4,5.82671289E+4,6.05008906E+4,6.18057031E+4,6.28227266E+4,6.51681172E+4,6.60642813E+4,6.75595938E+4,6.97697969E+4,7.14658516E+4,7.28730938E+4,7.43479219E+4,7.79827656E+4,8.21522422E+4,8.45519141E+4,8.67272969E+4,8.94751875E+4,9.34224141E+4,9.79175859E+4,1.03343727E+5,1.09429461E+5,1.16998219E+5,1.29097992E+5,1.41464047E+5,1.61850531E+5,1.78187359E+5,1.94965625E+5,2.16888391E+5,2.54618484E+5,2.90827688E+5,3.14895063E+5,3.03602375E+5,
480.00,5.51338281E+4,5.59283086E+4,5.72466328E+4,5.83599297E+4,6.04512031E+4,6.20217109E+4,6.30150703E+4,6.48408359E+4,6.63108750E+4,6.73923984E+4,6.94252344E+4,7.03519609E+4,7.25959844E+4,7.30060391E+4,7.72244688E+4,7.99318516E+4,8.19636719E+4,8.44486016E+4,8.63420156E+4,8.97321406E+4,9.38634453E+4,9.83104766E+4,1.03241375E+5,1.11564445E+5,1.20060781E+5,1.34896531E+5,1.53035281E+5,1.70344688E+5,1.85467469E+5,2.06546313E+5,2.39302453E+5,2.68552656E+5,2.82137750E+5,2.67127719E+5,
480.500,5.55428750E+4,5.62211797E+4,5.72894297E+4,5.90144336E+4,6.05424141E+4,6.27733203E+4,6.27497188E+4,6.44234180E+4,6.58190156E+4,6.63495469E+4,6.83208359E+4,6.89314141E+4,7.09529844E+4,7.12280000E+4,7.48257734E+4,7.79894844E+4,7.98027344E+4,8.19854141E+4,8.32404297E+4,8.58397344E+4,8.89931797E+4,9.31317500E+4,9.83755156E+4,1.04796313E+5,1.13116563E+5,1.26201344E+5,1.43911109E+5,1.59276063E+5,1.76244938E+5,1.97018875E+5,2.24628172E+5,2.45857719E+5,2.51598156E+5,2.31517938E+5,
481.00,5.53539453E+4,5.62025547E+4,5.75545820E+4,5.84720313E+4,6.04363672E+4,6.14092969E+4,6.23729727E+4,6.40886875E+4,6.49732578E+4,6.62071406E+4,6.75982031E+4,6.81601719E+4,6.97895938E+4,7.03834219E+4,7.34686250E+4,7.56918594E+4,7.68425234E+4,7.85664609E+4,8.04064844E+4,8.19085078E+4,8.55649375E+4,8.81508438E+4,9.23363750E+4,9.81513125E+4,1.06903531E+5,1.18403953E+5,1.35702906E+5,1.52432688E+5,1.69065875E+5,1.86785031E+5,2.11937219E+5,2.23573281E+5,2.22308563E+5,2.02711375E+5,
481.500,5.54079688E+4,5.56857383E+4,5.74984141E+4,5.87195469E+4,6.00404766E+4,6.12122344E+4,6.18747578E+4,6.33016484E+4,6.40557266E+4,6.46338906E+4,6.67953125E+4,6.75082422E+4,6.84475000E+4,6.88816406E+4,7.11757734E+4,7.34750469E+4,7.40192656E+4,7.50233359E+4,7.69820938E+4,7.86240000E+4,8.09088672E+4,8.37266406E+4,8.79774766E+4,9.29998828E+4,1.01424391E+5,1.12106016E+5,1.28005492E+5,1.46259813E+5,1.62039953E+5,1.76864375E+5,1.98342813E+5,2.03775719E+5,1.97667969E+5,1.77330406E+5,
482.00,5.54814297E+4,5.57091055E+4,5.68948672E+4,5.85720313E+4,5.99215938E+4,6.11794688E+4,6.15843398E+4,6.26444141E+4,6.33851328E+4,6.39156797E+4,6.51890078E+4,6.54352266E+4,6.69393203E+4,6.68599922E+4,6.90615313E+4,7.08880781E+4,7.13341484E+4,7.21912813E+4,7.38210547E+4,7.47708984E+4,7.64274609E+4,7.93089297E+4,8.31392188E+4,8.81542344E+4,9.54367109E+4,1.06662813E+5,1.23752797E+5,1.38792688E+5,1.54778313E+5,1.69513266E+5,1.84887969E+5,1.86793844E+5,1.77504531E+5,1.57806063E+5,
482.500,5.55156797E+4,5.55724141E+4,5.68598086E+4,5.77572734E+4,5.90157813E+4,5.98111094E+4,6.08973516E+4,6.17143477E+4,6.20361992E+4,6.25096875E+4,6.41220195E+4,6.45294883E+4,6.54558281E+4,6.51639023E+4,6.70320625E+4,6.87908828E+4,6.87021641E+4,7.01494453E+4,7.08901094E+4,7.24828438E+4,7.35567031E+4,7.62769375E+4,7.86856406E+4,8.42777500E+4,9.17988828E+4,1.02286797E+5,1.19208563E+5,1.33974375E+5,1.47645688E+5,1.62004031E+5,1.74282734E+5,1.71876094E+5,1.61280906E+5,1.41239688E+5,
483.00,5.51220391E+4,5.55899297E+4,5.71505898E+4,5.75327500E+4,5.84106875E+4,5.93041172E+4,6.01665625E+4,6.09019648E+4,6.15020547E+4,6.19492891E+4,6.26970859E+4,6.27456328E+4,6.36907031E+4,6.39840391E+4,6.53350234E+4,6.57058281E+4,6.65713672E+4,6.73129688E+4,6.81237656E+4,6.89490313E+4,7.09858438E+4,7.26590859E+4,7.57845391E+4,8.12039922E+4,8.81169688E+4,9.86222656E+4,1.14209250E+5,1.28514453E+5,1.42564547E+5,1.53679234E+5,1.62754000E+5,1.57812766E+5,1.46141375E+5,1.27984594E+5,
483.500,5.47627969E+4,5.53191797E+4,5.58879805E+4,5.65839844E+4,5.73130781E+4,5.84548125E+4,5.89563828E+4,5.99533320E+4,6.04114727E+4,6.04900703E+4,6.15325234E+4,6.15345859E+4,6.25377422E+4,6.20785703E+4,6.36039805E+4,6.40734922E+4,6.42627461E+4,6.41986289E+4,6.62256172E+4,6.64882969E+4,6.84046328E+4,7.02144375E+4,7.39674688E+4,7.83327344E+4,8.55626719E+4,9.54287188E+4,1.11905234E+5,1.24366047E+5,1.38233328E+5,1.46513984E+5,1.53055156E+5,1.47343391E+5,1.37528016E+5,1.22082578E+5,
484.00,5.40287734E+4,5.39645625E+4,5.55293984E+4,5.64376406E+4,5.70062031E+4,5.75902969E+4,5.81816406E+4,5.88837969E+4,5.94430391E+4,5.96201328E+4,5.97547617E+4,6.03978906E+4,6.08287109E+4,6.06878633E+4,6.15039375E+4,6.13610234E+4,6.23593672E+4,6.28015859E+4,6.34074219E+4,6.48345195E+4,6.56474922E+4,6.78419922E+4,7.02953906E+4,7.59178281E+4,8.24236484E+4,9.26245938E+4,1.07810016E+5,1.20788531E+5,1.32784219E+5,1.39554125E+5,1.44744703E+5,1.39842031E+5,1.31595313E+5,1.17392703E+5,
484.500,5.40988047E+4,5.40728711E+4,5.53695547E+4,5.56486055E+4,5.60386484E+4,5.70770352E+4,5.74432188E+4,5.79826406E+4,5.79712344E+4,5.82523516E+4,5.91351406E+4,5.90220664E+4,5.98146016E+4,5.95469609E+4,5.93114883E+4,6.04650195E+4,6.02907422E+4,6.11299609E+4,6.18695938E+4,6.27036211E+4,6.33861953E+4,6.58478281E+4,6.85936875E+4,7.32700625E+4,8.08769453E+4,9.12960781E+4,1.04981828E+5,1.17324219E+5,1.28061813E+5,1.34206031E+5,1.37669750E+5,1.33440469E+5,1.28506844E+5,1.15677938E+5,
485.00,5.27871328E+4,5.28557344E+4,5.42890469E+4,5.43940234E+4,5.56225781E+4,5.56080234E+4,5.66993711E+4,5.71400703E+4,5.68989375E+4,5.65497031E+4,5.79695000E+4,5.75745352E+4,5.83312031E+4,5.79487109E+4,5.83405625E+4,5.93217344E+4,5.91616719E+4,5.97094258E+4,5.96969531E+4,6.09099102E+4,6.21457383E+4,6.34366563E+4,6.65579219E+4,7.15386406E+4,7.78456172E+4,8.84556406E+4,1.01132992E+5,1.13725109E+5,1.22936125E+5,1.27277625E+5,1.31420594E+5,1.29512305E+5,1.26375438E+5,1.16249781E+5,
485.500,5.33611094E+4,5.28517109E+4,5.38746836E+4,5.43434531E+4,5.47820234E+4,5.60872969E+4,5.59768750E+4,5.61050078E+4,5.67685859E+4,5.61956328E+4,5.67227500E+4,5.70790156E+4,5.76061250E+4,5.73342422E+4,5.71613125E+4,5.80634414E+4,5.79853125E+4,5.83186641E+4,5.83863750E+4,5.94228906E+4,6.10948516E+4,6.30293281E+4,6.54534141E+4,7.00244844E+4,7.65873281E+4,8.60221875E+4,9.92489219E+4,1.09884891E+5,1.16994641E+5,1.21671969E+5,1.26282625E+5,1.26629516E+5,1.25094016E+5,1.17462375E+5,
486.00,5.25307578E+4,5.24138047E+4,5.33671797E+4,5.43550156E+4,5.45179141E+4,5.45993672E+4,5.48186523E+4,5.54002813E+4,5.50494258E+4,5.55433438E+4,5.66241172E+4,5.56373242E+4,5.63191992E+4,5.63160664E+4,5.67985000E+4,5.71545781E+4,5.73508906E+4,5.73728203E+4,5.75743594E+4,5.85768125E+4,5.95667383E+4,6.16384766E+4,6.43200508E+4,6.87089219E+4,7.48614922E+4,8.36194063E+4,9.55246094E+4,1.05102234E+5,1.10608430E+5,1.15181094E+5,1.19403938E+5,1.21127945E+5,1.23013828E+5,1.16069727E+5,
486.500,5.19611953E+4,5.22480078E+4,5.34883906E+4,5.30948203E+4,5.37144922E+4,5.41080625E+4,5.51568906E+4,5.53798477E+4,5.54813828E+4,5.46052617E+4,5.59524141E+4,5.53076250E+4,5.58257578E+4,5.54133516E+4,5.60215000E+4,5.61157070E+4,5.62758594E+4,5.60288281E+4,5.67144375E+4,5.72137383E+4,5.89743555E+4,6.06344805E+4,6.33643789E+4,6.82599766E+4,7.40882266E+4,8.18142109E+4,9.23967500E+4,1.00993625E+5,1.06583203E+5,1.10437305E+5,1.13840250E+5,1.16785781E+5,1.18563141E+5,1.13261406E+5,
487.00,5.19310938E+4,5.17663711E+4,5.30757461E+4,5.28396797E+4,5.37713477E+4,5.35499688E+4,5.44113516E+4,5.46201328E+4,5.41962656E+4,5.40147578E+4,5.49107539E+4,5.54300938E+4,5.54458359E+4,5.51457695E+4,5.56241914E+4,5.54909492E+4,5.57458984E+4,5.64289141E+4,5.64698320E+4,5.71895664E+4,5.84527773E+4,6.10631250E+4,6.32674453E+4,6.70875000E+4,7.27813828E+4,8.09744063E+4,8.98850547E+4,9.72376875E+4,1.01938000E+5,1.03857992E+5,1.07650766E+5,1.11208516E+5,1.14362344E+5,1.09090234E+5,
487.500,5.09264531E+4,5.11798594E+4,5.19369258E+4,5.26908359E+4,5.34678828E+4,5.42817305E+4,5.38369531E+4,5.44815156E+4,5.45666836E+4,5.44688984E+4,5.47801367E+4,5.50514180E+4,5.52511992E+4,5.45551172E+4,5.55634922E+4,5.54541328E+4,5.58158438E+4,5.62133047E+4,5.62763984E+4,5.74225078E+4,5.80102891E+4,6.07041875E+4,6.31594023E+4,6.65662031E+4,7.24103438E+4,7.95299297E+4,8.78061484E+4,9.36366172E+4,9.76333047E+4,1.00151602E+5,1.01837133E+5,1.04829648E+5,1.07195484E+5,1.01551125E+5,
488.00,5.11140781E+4,5.14849766E+4,5.26176875E+4,5.25038906E+4,5.30728750E+4,5.34100547E+4,5.42161172E+4,5.39800977E+4,5.44194805E+4,5.42614258E+4,5.46639375E+4,5.42435156E+4,5.51075352E+4,5.47619258E+4,5.53783359E+4,5.57839961E+4,5.54331250E+4,5.59188672E+4,5.71190156E+4,5.74593516E+4,5.88986797E+4,6.07605391E+4,6.35707031E+4,6.72712344E+4,7.24121484E+4,7.82411094E+4,8.69497813E+4,9.09274297E+4,9.38440234E+4,9.58038672E+4,9.68522813E+4,9.90544766E+4,1.00164000E+5,9.43708594E+4,
