Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

459.7500,1.25543604E+3,1.27690613E+3,1.31419629E+3,1.21814575E+3,1.22492578E+3,1.20910571E+3,1.17520557E+3,1.21249573E+3,1.26673608E+3,1.17746558E+3,1.18876563E+3,1.21249573E+3,1.20684570E+3,1.14921545E+3,1.19893567E+3,1.13000537E+3,1.12322534E+3,1.19667566E+3,1.22040576E+3,1.17972559E+3,1.19215564E+3,1.16277551E+3,1.20910571E+3,1.22153577E+3,1.23283594E+3,1.15825549E+3,1.19780566E+3,1.23961597E+3,1.16842554E+3,1.20684570E+3,1.26447607E+3,
460.00,1.20332227E+3,1.28564893E+3,1.24730505E+3,1.26873254E+3,1.26760474E+3,1.23941077E+3,1.20332227E+3,1.26309375E+3,1.17512830E+3,1.18415039E+3,1.22249426E+3,1.21685547E+3,1.08941833E+3,1.17851160E+3,1.13340100E+3,1.16272290E+3,1.15031750E+3,1.22587756E+3,1.27662683E+3,1.19091699E+3,1.14016760E+3,1.23151636E+3,1.24843286E+3,1.25745496E+3,1.19430017E+3,1.22474976E+3,1.21572766E+3,1.14693420E+3,1.23828296E+3,1.21234436E+3,1.26760474E+3,
460.2500,1.26802393E+3,1.28040039E+3,1.23201978E+3,1.29165173E+3,1.24777161E+3,1.26239832E+3,1.19038989E+3,1.28040039E+3,1.19151501E+3,1.17576306E+3,1.19264014E+3,1.22751917E+3,1.22189355E+3,1.16338672E+3,1.14650964E+3,1.19264014E+3,1.19489038E+3,1.15663586E+3,1.16226147E+3,1.15551074E+3,1.14875989E+3,1.15326050E+3,1.15663586E+3,1.12400708E+3,1.14875989E+3,1.15663586E+3,1.14200916E+3,1.19601550E+3,1.27477478E+3,1.20839197E+3,1.29390198E+3,
460.500,1.25724316E+3,1.25948816E+3,1.25724316E+3,1.23703748E+3,1.15958228E+3,1.22132190E+3,1.23142480E+3,1.29428687E+3,1.15733716E+3,1.18315564E+3,1.17193018E+3,1.18876831E+3,1.14386670E+3,1.20336133E+3,1.17305273E+3,1.12366101E+3,1.16070483E+3,1.19887109E+3,1.15509216E+3,1.18427820E+3,1.19101343E+3,1.12927380E+3,1.19101343E+3,1.22468958E+3,1.19325842E+3,1.17754285E+3,1.20448389E+3,1.31337012E+3,1.20448389E+3,1.24377271E+3,1.22805713E+3,
460.7500,1.22637866E+3,1.26893787E+3,1.21629883E+3,1.23197852E+3,1.24765833E+3,1.24877820E+3,1.22189868E+3,1.17373950E+3,1.21181885E+3,1.16701965E+3,1.14573999E+3,1.17597949E+3,1.23533850E+3,1.19165930E+3,1.19165930E+3,1.21181885E+3,1.21853882E+3,1.16253979E+3,1.20173901E+3,1.19501917E+3,1.16253979E+3,1.20733899E+3,1.22637866E+3,1.18157947E+3,1.26669800E+3,1.20957898E+3,1.15245996E+3,1.19725916E+3,1.18941931E+3,1.23645850E+3,1.19277917E+3,
461.00,1.27725378E+3,1.25155225E+3,1.15656836E+3,1.17444763E+3,1.22138086E+3,1.20908887E+3,1.25490454E+3,1.26607910E+3,1.17221277E+3,1.22249829E+3,1.21691101E+3,1.16997778E+3,1.17333020E+3,1.17444763E+3,1.16886035E+3,1.17444763E+3,1.13421924E+3,1.18226990E+3,1.23255542E+3,1.24596497E+3,1.19567932E+3,1.16439050E+3,1.22026343E+3,1.16662549E+3,1.19344446E+3,1.19679675E+3,1.26607910E+3,1.21579358E+3,1.27948865E+3,1.28731079E+3,1.28619336E+3,
461.2500,1.26958044E+3,1.21607751E+3,1.21384827E+3,1.20158716E+3,1.23502649E+3,1.15254272E+3,1.28184155E+3,1.18263818E+3,1.14585486E+3,1.17706494E+3,1.16480383E+3,1.19489929E+3,1.17595032E+3,1.19489929E+3,1.12356201E+3,1.18709680E+3,1.14028162E+3,1.21496289E+3,1.19601392E+3,1.22165076E+3,1.13805237E+3,1.22722400E+3,1.08900806E+3,1.19044067E+3,1.09346655E+3,1.17706494E+3,1.22722400E+3,1.21719214E+3,1.22833862E+3,1.28184155E+3,1.29187341E+3,
461.500,1.24640869E+3,1.18525574E+3,1.17747266E+3,1.16857764E+3,1.23640186E+3,1.30533789E+3,1.17524890E+3,1.21972375E+3,1.19303882E+3,1.16301831E+3,1.20526941E+3,1.20193384E+3,1.21638818E+3,1.13855713E+3,1.14189270E+3,1.15523523E+3,1.21972375E+3,1.16301831E+3,1.27198181E+3,1.20193384E+3,1.20193384E+3,1.12187903E+3,1.18859131E+3,1.23084253E+3,1.16857764E+3,1.19192700E+3,1.22973059E+3,1.25641553E+3,1.24752063E+3,1.29644299E+3,1.26086304E+3,
461.7500,1.19121448E+3,1.24556226E+3,1.24667139E+3,1.28216382E+3,1.20230579E+3,1.22781604E+3,1.15683118E+3,1.19897839E+3,1.14463062E+3,1.22227026E+3,1.20341492E+3,1.15128540E+3,1.17790479E+3,1.18123218E+3,1.15017627E+3,1.15350378E+3,1.17125000E+3,1.23779822E+3,1.16459509E+3,1.15239465E+3,1.19454187E+3,1.14573975E+3,1.17235913E+3,1.24778052E+3,1.25110791E+3,1.23336169E+3,1.28438208E+3,1.21894287E+3,1.15350378E+3,1.29880078E+3,1.22337939E+3,
462.00,1.21708691E+3,1.25913171E+3,1.25470605E+3,1.20380957E+3,1.27794128E+3,1.26577039E+3,1.17061633E+3,1.17836145E+3,1.22483203E+3,1.19717102E+3,1.19938391E+3,1.15291321E+3,1.12525220E+3,1.14738110E+3,1.12967798E+3,1.15512610E+3,1.15401965E+3,1.11861353E+3,1.13852954E+3,1.17504211E+3,1.15291321E+3,1.10754907E+3,1.24474805E+3,1.20823535E+3,1.21044824E+3,1.24917383E+3,1.26908972E+3,1.21487402E+3,1.20270325E+3,1.26134460E+3,1.29675085E+3,
462.2500,1.28502478E+3,1.20774670E+3,1.24417773E+3,1.23313806E+3,1.15475598E+3,1.19560291E+3,1.19339502E+3,1.16689966E+3,1.15034009E+3,1.13157251E+3,1.18677112E+3,1.18677112E+3,1.11059705E+3,1.17352344E+3,1.14040430E+3,1.18345923E+3,1.17683545E+3,1.21547449E+3,1.17793933E+3,1.24307373E+3,1.21547449E+3,1.19449902E+3,1.21105859E+3,1.24969763E+3,1.17241956E+3,1.19339502E+3,1.30158435E+3,1.26184131E+3,1.29937646E+3,1.28060889E+3,1.21547449E+3,
462.500,1.28218933E+3,1.27117395E+3,1.26897083E+3,1.23151855E+3,1.13678638E+3,1.13458337E+3,1.23702625E+3,1.21719861E+3,1.19296484E+3,1.11695874E+3,1.13788794E+3,1.17644177E+3,1.12687256E+3,1.23592480E+3,1.08831873E+3,1.14119250E+3,1.17864478E+3,1.17423865E+3,1.17644177E+3,1.15220789E+3,1.21940173E+3,1.20287866E+3,1.22931555E+3,1.31413391E+3,1.18745715E+3,1.33506311E+3,1.23812781E+3,1.28659546E+3,1.25685400E+3,1.28108777E+3,1.29210315E+3,
462.7500,1.22113782E+3,1.21344385E+3,1.25960754E+3,1.33105127E+3,1.19915515E+3,1.24092224E+3,1.22003870E+3,1.24531873E+3,1.18926294E+3,1.16508203E+3,1.16508203E+3,1.14969409E+3,1.16288379E+3,1.18046985E+3,1.16508203E+3,1.15848718E+3,1.16837939E+3,1.20355164E+3,1.17497424E+3,1.22443518E+3,1.22993091E+3,1.17277588E+3,1.22003870E+3,1.26070667E+3,1.23762488E+3,1.20245251E+3,1.24092224E+3,1.21564221E+3,1.24202136E+3,1.30796936E+3,1.26510315E+3,
463.00,1.34024414E+3,1.20095520E+3,1.25579333E+3,1.21850342E+3,1.24811597E+3,1.23934192E+3,1.19108435E+3,1.17901990E+3,1.18340698E+3,1.16147180E+3,1.18450378E+3,1.12418176E+3,1.12856885E+3,1.23276135E+3,1.15269763E+3,1.13624622E+3,1.23495483E+3,1.16914905E+3,1.11760120E+3,1.18121350E+3,1.21301965E+3,1.19327783E+3,1.15708472E+3,1.22069690E+3,1.23276135E+3,1.23824512E+3,1.21960022E+3,1.32817969E+3,1.30734119E+3,1.31063147E+3,1.21192285E+3,
463.2500,1.22681982E+3,1.28044531E+3,1.15349512E+3,1.21478137E+3,1.28153967E+3,1.18742151E+3,1.19070471E+3,1.16334473E+3,1.17866626E+3,1.11300244E+3,1.09330322E+3,1.23666943E+3,1.17538306E+3,1.20274304E+3,1.14145679E+3,1.12504077E+3,1.23448059E+3,1.12504077E+3,1.20493188E+3,1.20164868E+3,1.20821509E+3,1.25417969E+3,1.28263403E+3,1.23338623E+3,1.20821509E+3,1.25636853E+3,1.22134778E+3,1.29029492E+3,1.22572534E+3,1.34282593E+3,1.21149829E+3,
463.500,1.22966443E+3,1.20017871E+3,1.24167712E+3,1.20345483E+3,1.19362634E+3,1.22529614E+3,1.20454700E+3,1.22748035E+3,1.20017871E+3,1.17833740E+3,1.15758813E+3,1.21983582E+3,1.13137866E+3,1.20563904E+3,1.15649609E+3,1.19799451E+3,1.13356274E+3,1.17615332E+3,1.15758813E+3,1.21874377E+3,1.16850879E+3,1.20563904E+3,1.20345483E+3,1.29955652E+3,1.24167712E+3,1.20017871E+3,1.25805811E+3,1.24167712E+3,1.29955652E+3,1.29955652E+3,1.30829309E+3,
463.7500,1.25213611E+3,1.26412354E+3,1.23361023E+3,1.19764807E+3,1.23469995E+3,1.21617395E+3,1.24559753E+3,1.14969849E+3,1.15950635E+3,1.14207019E+3,1.11373645E+3,1.18021179E+3,1.13335205E+3,1.15078833E+3,1.13444189E+3,1.16059619E+3,1.17258350E+3,1.19437878E+3,1.14860876E+3,1.20854565E+3,1.16059619E+3,1.18566064E+3,1.25976440E+3,1.23687939E+3,1.20963538E+3,1.20854565E+3,1.27829041E+3,1.28809827E+3,1.25976440E+3,1.40579248E+3,1.27284155E+3,
464.00,1.24843774E+3,1.18536328E+3,1.20711316E+3,1.25061267E+3,1.18862573E+3,1.21472559E+3,1.22886292E+3,1.17775085E+3,1.13425134E+3,1.17013843E+3,1.04942712E+3,1.13207629E+3,1.15926355E+3,1.16143860E+3,1.22233801E+3,1.21146301E+3,1.19950073E+3,1.15926355E+3,1.17340100E+3,1.24517529E+3,1.17666345E+3,1.24300024E+3,1.29302478E+3,1.29519971E+3,1.25605017E+3,1.26583752E+3,1.27018750E+3,1.27344995E+3,1.30607458E+3,1.32564941E+3,1.38437390E+3,
464.2500,1.30100952E+3,1.20877783E+3,1.21637341E+3,1.21962866E+3,1.21637341E+3,1.19250171E+3,1.24892578E+3,1.20118225E+3,1.19141663E+3,1.17297021E+3,1.23590479E+3,1.13716260E+3,1.12631189E+3,1.17188513E+3,1.13390747E+3,1.15777917E+3,1.20986292E+3,1.16428967E+3,1.13824768E+3,1.13933276E+3,1.16103442E+3,1.21311816E+3,1.16103442E+3,1.30100952E+3,1.27171240E+3,1.24892578E+3,1.34441272E+3,1.27605273E+3,1.27171240E+3,1.32922156E+3,1.29775427E+3,
464.500,1.27325610E+3,1.27325610E+3,1.19097083E+3,1.22128650E+3,1.11518176E+3,1.19746704E+3,1.21587292E+3,1.10435474E+3,1.19313623E+3,1.16282068E+3,1.17256494E+3,1.12600879E+3,1.25051941E+3,1.23103076E+3,1.16173792E+3,1.15848987E+3,1.17148218E+3,1.14008386E+3,1.19854980E+3,1.19638440E+3,1.18988818E+3,1.23103076E+3,1.34796240E+3,1.21045947E+3,1.29382739E+3,1.26026367E+3,1.27217334E+3,1.26026367E+3,1.28841394E+3,1.31656409E+3,1.30140637E+3,
464.7500,1.32343396E+3,1.29858582E+3,1.18838977E+3,1.23916638E+3,1.16570227E+3,1.24672888E+3,1.18622900E+3,1.23484497E+3,1.17218445E+3,1.14193445E+3,1.16786304E+3,1.15922009E+3,1.22944312E+3,1.12356848E+3,1.18947009E+3,1.17218445E+3,1.13869336E+3,1.18082727E+3,1.15057727E+3,1.23700562E+3,1.24132703E+3,1.26077344E+3,1.38609460E+3,1.21431824E+3,1.23700562E+3,1.27049658E+3,1.28130017E+3,1.30614832E+3,1.24564844E+3,1.34828210E+3,1.32667505E+3,
465.00,1.33029968E+3,1.20309119E+3,1.25052490E+3,1.21602759E+3,1.16320374E+3,1.25052490E+3,1.14811121E+3,1.18476453E+3,1.15565747E+3,1.19231079E+3,1.18907666E+3,1.19338879E+3,1.17721826E+3,1.20848132E+3,1.15996960E+3,1.11684802E+3,1.24729077E+3,1.16320374E+3,1.17829626E+3,1.18692053E+3,1.30119263E+3,1.21387158E+3,1.29472449E+3,1.20309119E+3,1.27855383E+3,1.19015466E+3,1.32490955E+3,1.28717822E+3,1.38420166E+3,1.40791846E+3,1.33245581E+3,
465.2500,1.29569727E+3,1.20422363E+3,1.19346204E+3,1.23005151E+3,1.15687256E+3,1.20852832E+3,1.19991907E+3,1.17516736E+3,1.20852832E+3,1.18485278E+3,1.14180640E+3,1.24727002E+3,1.20960449E+3,1.23758459E+3,1.22682300E+3,1.21068066E+3,1.20745215E+3,1.21175684E+3,1.18054810E+3,1.25157471E+3,1.24081311E+3,1.22144226E+3,1.23758459E+3,1.37963782E+3,1.29462109E+3,1.33659143E+3,1.23435620E+3,1.39039941E+3,1.37102856E+3,1.40438953E+3,1.40761804E+3,
465.500,1.26875513E+3,1.19677661E+3,1.21181689E+3,1.22148560E+3,1.19999951E+3,1.24297180E+3,1.22041138E+3,1.17206763E+3,1.20859399E+3,1.18603357E+3,1.16884460E+3,1.26016064E+3,1.22255994E+3,1.15917590E+3,1.16669604E+3,1.19785095E+3,1.19892517E+3,1.15810156E+3,1.24619470E+3,1.20859399E+3,1.19462805E+3,1.25478918E+3,1.23008008E+3,1.30205859E+3,1.26123499E+3,1.33106482E+3,1.37511133E+3,1.28916687E+3,1.38370581E+3,1.38370581E+3,1.29131555E+3,
465.7500,1.19473584E+3,1.21940283E+3,1.29233105E+3,1.24514221E+3,1.20760559E+3,1.16041675E+3,1.17650378E+3,1.23763489E+3,1.24514221E+3,1.14111218E+3,1.11322791E+3,1.18079370E+3,1.20117078E+3,1.14861951E+3,1.18293872E+3,1.13896729E+3,1.13896729E+3,1.18615613E+3,1.24406970E+3,1.24192468E+3,1.22905505E+3,1.21725781E+3,1.25586694E+3,1.31699792E+3,1.28053381E+3,1.22798254E+3,1.31485291E+3,1.29018604E+3,1.37812891E+3,1.39421606E+3,1.41888293E+3,
466.00,1.23768799E+3,1.23554663E+3,1.21520398E+3,1.21092139E+3,1.22269873E+3,1.16381213E+3,1.15096411E+3,1.24304126E+3,1.12419751E+3,1.15738818E+3,1.14025757E+3,1.08351233E+3,1.20021472E+3,1.20449744E+3,1.22698132E+3,1.16381213E+3,1.21413342E+3,1.14882288E+3,1.24197058E+3,1.23447595E+3,1.30621045E+3,1.26659595E+3,1.36616772E+3,1.34582507E+3,1.30406921E+3,1.34689575E+3,1.35974365E+3,1.36402637E+3,1.38972229E+3,1.37045032E+3,1.38972229E+3,
466.2500,1.24753271E+3,1.15132190E+3,1.20584131E+3,1.22722156E+3,1.17270215E+3,1.13528674E+3,1.18339221E+3,1.14811487E+3,1.11390662E+3,1.17804712E+3,1.15773596E+3,1.16415002E+3,1.15773596E+3,1.17270215E+3,1.17163306E+3,1.15345996E+3,1.18339221E+3,1.14276990E+3,1.24111865E+3,1.25929175E+3,1.26463684E+3,1.27532690E+3,1.25073975E+3,1.32770825E+3,1.40253882E+3,1.35122644E+3,1.43140210E+3,1.38650378E+3,1.33198438E+3,1.47095544E+3,1.36405457E+3,
466.500,1.22107361E+3,1.21680408E+3,1.22961255E+3,1.23921887E+3,1.22534314E+3,1.16450293E+3,1.20933252E+3,1.16770496E+3,1.21787146E+3,1.15062708E+3,1.13354907E+3,1.15489648E+3,1.10152795E+3,1.23388208E+3,1.12501013E+3,1.21893884E+3,1.25309473E+3,1.19438928E+3,1.26910535E+3,1.30326123E+3,1.30646338E+3,1.26910535E+3,1.27230750E+3,1.35876453E+3,1.33528235E+3,1.35022559E+3,1.32247388E+3,1.35236035E+3,1.39718994E+3,1.39505518E+3,1.41533533E+3,
466.7500,1.25972278E+3,1.27464331E+3,1.17446240E+3,1.21496106E+3,1.18938293E+3,1.26824878E+3,1.19044873E+3,1.19790894E+3,1.13716089E+3,1.16487061E+3,1.10412256E+3,1.17659387E+3,1.10731982E+3,1.18938293E+3,1.17872534E+3,1.20536926E+3,1.15954175E+3,1.24693372E+3,1.27251184E+3,1.31407629E+3,1.31940503E+3,1.30022144E+3,1.40466553E+3,1.35350928E+3,1.31727356E+3,1.35350928E+3,1.36949561E+3,1.39507373E+3,1.43876965E+3,1.49418896E+3,1.49632043E+3,
467.00,1.24080786E+3,1.20356226E+3,1.18334326E+3,1.17270178E+3,1.18015088E+3,1.21313977E+3,1.22910205E+3,1.14822607E+3,1.16525269E+3,1.20675476E+3,1.16312427E+3,1.15248279E+3,1.14290527E+3,1.12800708E+3,1.17589417E+3,1.24080786E+3,1.27379675E+3,1.17908667E+3,1.24506445E+3,1.27379675E+3,1.29188745E+3,1.26315515E+3,1.33551782E+3,1.37595581E+3,1.29082324E+3,1.43022791E+3,1.37702002E+3,1.46747339E+3,1.38978992E+3,1.42065051E+3,1.55367017E+3,
467.2500,1.26742859E+3,1.17181372E+3,1.24830566E+3,1.20368530E+3,1.15587793E+3,1.15269067E+3,1.17393848E+3,1.20368530E+3,1.17287610E+3,1.22493311E+3,1.14206689E+3,1.18668713E+3,1.22174597E+3,1.19731104E+3,1.22068359E+3,1.18137524E+3,1.16968896E+3,1.27380298E+3,1.28123962E+3,1.27380298E+3,1.26530383E+3,1.37791699E+3,1.34498291E+3,1.42997400E+3,1.38747839E+3,1.42466199E+3,1.42678674E+3,1.46609509E+3,1.42891150E+3,1.41403809E+3,1.54789893E+3,
467.500,1.16564270E+3,1.17730969E+3,1.10836816E+3,1.17730969E+3,1.11473193E+3,1.13806604E+3,1.09033728E+3,1.18261292E+3,1.15397559E+3,1.14336926E+3,1.09776172E+3,1.17306714E+3,1.13806604E+3,1.12852026E+3,1.14018738E+3,1.21761401E+3,1.24519067E+3,1.24837256E+3,1.29398010E+3,1.33428430E+3,1.31307153E+3,1.32792053E+3,1.39474084E+3,1.40958972E+3,1.34170886E+3,1.36398230E+3,1.41065039E+3,1.51459302E+3,1.44989404E+3,1.52519946E+3,1.50292603E+3,
467.7500,1.19233484E+3,1.22622009E+3,1.26434094E+3,1.21986658E+3,1.20610071E+3,1.16056750E+3,1.18809924E+3,1.16692102E+3,1.15844971E+3,1.17539233E+3,1.08220801E+3,1.19021704E+3,1.14044824E+3,1.20927747E+3,1.23575024E+3,1.21986658E+3,1.23045569E+3,1.28869592E+3,1.29610828E+3,1.26539978E+3,1.30669739E+3,1.40199951E+3,1.42635437E+3,1.39776379E+3,1.39988159E+3,1.43906140E+3,1.40094055E+3,1.48988916E+3,1.50577283E+3,1.50047827E+3,1.53012781E+3,
468.00,1.23375879E+3,1.20098535E+3,1.12275220E+3,1.20944299E+3,1.12803821E+3,1.20944299E+3,1.08152112E+3,1.11006567E+3,1.17032642E+3,1.13438147E+3,1.15235388E+3,1.21261462E+3,1.21367188E+3,1.16081152E+3,1.19992822E+3,1.20309973E+3,1.25067407E+3,1.26758936E+3,1.32573560E+3,1.35110852E+3,1.34793689E+3,1.39128235E+3,1.44202820E+3,1.52977625E+3,1.49911731E+3,1.40291162E+3,1.47374438E+3,1.44625708E+3,1.52026147E+3,1.53823389E+3,1.51180383E+3,
468.2500,1.19945691E+3,1.14877563E+3,1.12554663E+3,1.21951819E+3,1.14349634E+3,1.17622791E+3,1.17728381E+3,1.16250171E+3,1.20790369E+3,1.19840100E+3,1.08436816E+3,1.14666382E+3,1.09387085E+3,1.18361902E+3,1.25964087E+3,1.16989282E+3,1.26069678E+3,1.28075806E+3,1.36945032E+3,1.34622144E+3,1.34199792E+3,1.40007019E+3,1.49193005E+3,1.53205273E+3,1.47503625E+3,1.49720935E+3,1.56267273E+3,1.48665076E+3,1.52888513E+3,1.59540430E+3,1.59962781E+3,
468.500,1.20427295E+3,1.19372754E+3,1.13994653E+3,1.29179883E+3,1.21060010E+3,1.18634595E+3,1.18107324E+3,1.13783752E+3,1.17896423E+3,1.15154639E+3,1.11991052E+3,1.18318225E+3,1.19478210E+3,1.16736438E+3,1.20638196E+3,1.20216382E+3,1.31816211E+3,1.22958154E+3,1.39408826E+3,1.30128967E+3,1.42677869E+3,1.46368713E+3,1.52484985E+3,1.50270483E+3,1.47950513E+3,1.47950513E+3,1.52801355E+3,1.53117712E+3,1.59128528E+3,1.60815771E+3,1.56914014E+3,
468.7500,1.22699487E+3,1.21119666E+3,1.15642957E+3,1.13957813E+3,1.14379089E+3,1.17328088E+3,1.15958911E+3,1.10376880E+3,1.17854700E+3,1.16064233E+3,1.20382422E+3,1.16485522E+3,1.18275989E+3,1.21224988E+3,1.25648486E+3,1.19855811E+3,1.30914563E+3,1.31230530E+3,1.33336951E+3,1.44606348E+3,1.36391272E+3,1.43553137E+3,1.57560889E+3,1.52926746E+3,1.51662891E+3,1.57876855E+3,1.54822534E+3,1.56507678E+3,1.51136279E+3,1.57560889E+3,1.64301465E+3,
469.00,1.19602625E+3,1.19392236E+3,1.22022021E+3,1.23179126E+3,1.20549341E+3,1.17393604E+3,1.14343054E+3,1.05927734E+3,1.11818457E+3,1.13922290E+3,1.13396326E+3,1.17393604E+3,1.16867639E+3,1.18550708E+3,1.26755640E+3,1.27702356E+3,1.34960559E+3,1.42429150E+3,1.40325330E+3,1.44427795E+3,1.53369055E+3,1.49476978E+3,1.51370422E+3,1.61994751E+3,1.52632715E+3,1.60627271E+3,1.65571265E+3,1.55998840E+3,1.54736548E+3,1.71672363E+3,1.68516626E+3,
469.2500,1.20748926E+3,1.15704590E+3,1.17175854E+3,1.05931177E+3,1.16124951E+3,1.19803113E+3,1.12551880E+3,1.21169299E+3,1.14023145E+3,1.18226758E+3,1.17491125E+3,1.11921338E+3,1.20118384E+3,1.22955835E+3,1.24006738E+3,1.27895081E+3,1.37668494E+3,1.41136475E+3,1.43238293E+3,1.41556836E+3,1.51330249E+3,1.63205481E+3,1.62574927E+3,1.61629114E+3,1.56900049E+3,1.51540430E+3,1.70561804E+3,1.71822888E+3,1.63100391E+3,1.63625842E+3,1.68880359E+3,
469.500,1.14754712E+3,1.22419019E+3,1.16854517E+3,1.18639355E+3,1.12549902E+3,1.24623828E+3,1.11709985E+3,1.19164307E+3,1.17169495E+3,1.11709985E+3,1.16224573E+3,1.18534375E+3,1.17799438E+3,1.30608289E+3,1.31553198E+3,1.34492932E+3,1.32603113E+3,1.40792371E+3,1.54126172E+3,1.53076270E+3,1.60740588E+3,1.52761304E+3,1.58640771E+3,1.65045203E+3,1.63680322E+3,1.70609705E+3,1.70504712E+3,1.62840393E+3,1.73129468E+3,1.71764600E+3,1.77854053E+3,
469.7500,1.22094019E+3,1.17688562E+3,1.14332031E+3,1.17478784E+3,1.09402112E+3,1.12863538E+3,1.20520642E+3,1.24926099E+3,1.14751599E+3,1.17478784E+3,1.21149988E+3,1.20940210E+3,1.23667395E+3,1.21045105E+3,1.27233716E+3,1.34995703E+3,1.44435962E+3,1.42443018E+3,1.58701245E+3,1.57232764E+3,1.64260510E+3,1.69609985E+3,1.67617041E+3,1.74854578E+3,1.70344226E+3,1.73386096E+3,1.71602930E+3,1.73805664E+3,1.71288257E+3,1.88490503E+3,1.81882324E+3,
470.00,1.17683667E+3,1.18312427E+3,1.14539844E+3,1.18626807E+3,1.21770630E+3,1.17998047E+3,1.16845313E+3,1.14539844E+3,1.11605615E+3,1.17054907E+3,1.17159692E+3,1.15063818E+3,1.16635730E+3,1.28058276E+3,1.32564417E+3,1.41157520E+3,1.50484192E+3,1.54361572E+3,1.54780737E+3,1.66098499E+3,1.72910107E+3,1.78883362E+3,1.72910107E+3,1.89257971E+3,1.72386133E+3,1.78464185E+3,1.86952502E+3,1.80036096E+3,1.80979248E+3,1.83389502E+3,1.87895642E+3,
470.2500,1.19561743E+3,1.12337781E+3,1.19142969E+3,1.22074426E+3,1.13175342E+3,1.07521814E+3,1.18828882E+3,1.11395532E+3,1.11290833E+3,1.18305408E+3,1.17886621E+3,1.16734973E+3,1.26681006E+3,1.36103564E+3,1.43851001E+3,1.42804041E+3,1.55995618E+3,1.55995618E+3,1.64685315E+3,1.72013965E+3,1.82169385E+3,1.81855298E+3,1.87508826E+3,1.77981580E+3,1.84577368E+3,1.93267053E+3,1.85624316E+3,1.82902246E+3,1.83739807E+3,1.91591943E+3,1.86566577E+3,
470.500,1.16939575E+3,1.09826978E+3,1.17880957E+3,1.15370630E+3,1.12651099E+3,1.21018872E+3,1.13278687E+3,1.13383276E+3,1.15579822E+3,1.19449915E+3,1.17462561E+3,1.24888965E+3,1.38591187E+3,1.39323364E+3,1.46017578E+3,1.56058899E+3,1.57418665E+3,1.64112878E+3,1.74467993E+3,1.70911694E+3,1.85032312E+3,1.88484009E+3,1.91621924E+3,1.92354102E+3,1.88484009E+3,1.91203540E+3,1.91831116E+3,1.90471362E+3,1.98106946E+3,1.98106946E+3,1.94027661E+3,
470.7500,1.19025781E+3,1.24877783E+3,1.11710754E+3,1.23101282E+3,1.12651257E+3,1.17980774E+3,1.09725256E+3,1.17353772E+3,1.13591760E+3,1.18503271E+3,1.16935767E+3,1.39507825E+3,1.26863293E+3,1.48181348E+3,1.45464331E+3,1.56332361E+3,1.70962390E+3,1.73992908E+3,1.83084424E+3,1.84129431E+3,1.89667944E+3,1.97818958E+3,2.02730469E+3,2.03148474E+3,1.98132458E+3,2.04402478E+3,1.96773950E+3,2.00431470E+3,2.06910474E+3,2.02103467E+3,1.99177466E+3,
471.00,1.20169434E+3,1.19856226E+3,1.15053625E+3,1.14531604E+3,1.16410876E+3,1.13174341E+3,1.17872534E+3,1.15053625E+3,1.14322791E+3,1.20378247E+3,1.24867627E+3,1.35203662E+3,1.39275439E+3,1.48045398E+3,1.60469519E+3,1.68404260E+3,1.75190540E+3,1.84169312E+3,1.90015967E+3,2.04841382E+3,2.12984912E+3,2.11314453E+3,2.14028955E+3,2.14133374E+3,1.98263904E+3,2.05259009E+3,2.16012646E+3,2.06198633E+3,2.03170911E+3,2.12045288E+3,1.96071411E+3,
471.2500,1.25516321E+3,1.15708728E+3,1.10804932E+3,1.11535278E+3,1.22281897E+3,1.20403845E+3,1.20612524E+3,1.16647742E+3,1.21864551E+3,1.23742603E+3,1.33028516E+3,1.35636914E+3,1.43044775E+3,1.58382178E+3,1.67563757E+3,1.73719592E+3,1.89056995E+3,2.06794141E+3,2.03664050E+3,2.14723682E+3,2.13471631E+3,2.26931006E+3,2.24426929E+3,2.39138306E+3,2.15349683E+3,2.13367310E+3,2.13262964E+3,2.16184375E+3,2.26617993E+3,2.16288721E+3,2.15245361E+3,
